ID,code_module,code_presentation,id_student,date_registration,date_unregistration
118,AAA,2013J,281250,-64,
119,AAA,2013J,281589,-50,
120,AAA,2013J,282821,-107,
121,AAA,2013J,286488,-8,
122,AAA,2013J,287548,-52,
123,AAA,2013J,290201,-96,
124,AAA,2013J,290757,-141,
125,AAA,2013J,291334,-132,
126,AAA,2013J,292923,-162,-121
127,AAA,2013J,293699,-27,
128,AAA,2013J,294570,-80,
129,AAA,2013J,294594,-145,
130,AAA,2013J,295741,-17,
131,AAA,2013J,296332,-115,
132,AAA,2013J,298696,-32,
133,AAA,2013J,300398,-59,
134,AAA,2013J,302302,-83,
135,AAA,2013J,305152,-18,
136,AAA,2013J,305386,-66,
137,AAA,2013J,305539,-54,-3
138,AAA,2013J,306107,-107,
139,AAA,2013J,306466,-58,
140,AAA,2013J,306897,-123,
141,AAA,2013J,307061,-31,
142,AAA,2013J,307866,-107,
143,AAA,2013J,311917,-121,
144,AAA,2013J,312537,-79,
145,AAA,2013J,312782,-59,
146,AAA,2013J,318933,-100,
147,AAA,2013J,319047,-47,
148,AAA,2013J,321942,-67,
149,AAA,2013J,324002,-32,
150,AAA,2013J,324084,-165,
151,AAA,2013J,324282,-32,
152,AAA,2013J,331358,-67,53
153,AAA,2013J,332789,-64,
154,AAA,2013J,333059,-103,
155,AAA,2013J,333323,-53,
156,AAA,2013J,334259,-32,
157,AAA,2013J,334333,-192,65
158,AAA,2013J,335764,-196,160
159,AAA,2013J,336207,-110,
160,AAA,2013J,339972,-57,
161,AAA,2013J,341872,48,
162,AAA,2013J,342007,-71,51
163,AAA,2013J,342514,-81,
164,AAA,2013J,342972,-60,
165,AAA,2013J,343446,-49,
166,AAA,2013J,344282,-12,
167,AAA,2013J,345068,-37,
168,AAA,2013J,345357,-18,
169,AAA,2013J,346025,-75,
170,AAA,2013J,346843,-44,
171,AAA,2013J,350188,-49,
172,AAA,2013J,354858,-32,5
173,AAA,2013J,357668,-38,
174,AAA,2013J,364177,-129,
175,AAA,2013J,365244,-38,
176,AAA,2013J,365642,-52,
177,AAA,2013J,366483,-4,
178,AAA,2013J,368194,-123,
179,AAA,2013J,368824,-60,
180,AAA,2013J,368963,-19,
181,AAA,2013J,376439,-87,
182,AAA,2013J,376581,-64,
183,AAA,2013J,380953,-155,
184,AAA,2013J,383254,-61,
185,AAA,2013J,386924,-192,
186,AAA,2013J,386952,-38,
187,AAA,2013J,388722,-179,
188,AAA,2013J,388885,-185,
189,AAA,2013J,390890,-31,202
190,AAA,2013J,392756,-58,
191,AAA,2013J,392931,-54,
192,AAA,2013J,393207,-38,
193,AAA,2013J,396872,-23,
194,AAA,2013J,398552,-57,
195,AAA,2013J,401869,-53,
196,AAA,2013J,402470,-130,
197,AAA,2013J,404804,-129,
198,AAA,2013J,405088,-67,
199,AAA,2013J,405961,-170,-100
200,AAA,2013J,414117,-73,
201,AAA,2013J,415969,-60,172
202,AAA,2013J,420087,-15,
203,AAA,2013J,429958,-58,
204,AAA,2013J,441018,-52,
205,AAA,2013J,441888,-53,
206,AAA,2013J,442442,-32,119
207,AAA,2013J,444677,-38,
208,AAA,2013J,470588,-43,73
209,AAA,2013J,489455,-120,
210,AAA,2013J,494424,-38,
211,AAA,2013J,495284,-29,
212,AAA,2013J,498857,-16,
213,AAA,2013J,508818,-156,
214,AAA,2013J,512460,-32,
215,AAA,2013J,544103,-127,
216,AAA,2013J,550383,-51,
217,AAA,2013J,564450,-43,
218,AAA,2013J,568601,-30,128
219,AAA,2013J,572652,-158,
220,AAA,2013J,580389,-22,
221,AAA,2013J,581129,-38,
222,AAA,2013J,588775,-17,
223,AAA,2013J,591774,-46,
224,AAA,2013J,603861,-38,241
225,AAA,2013J,606143,-43,
226,AAA,2013J,704156,-29,
227,AAA,2013J,705379,-57,
228,AAA,2013J,721259,-73,23
229,AAA,2013J,749412,-138,
230,AAA,2013J,760729,-67,
231,AAA,2013J,905042,-91,
232,AAA,2013J,949618,-59,
233,AAA,2013J,958987,-67,
234,AAA,2013J,968578,-170,
235,AAA,2013J,969076,-42,173
236,AAA,2013J,971027,-62,
237,AAA,2013J,978739,-108,
238,AAA,2013J,1035023,-87,
239,AAA,2013J,1105478,-144,
240,AAA,2013J,1352868,-63,203
241,AAA,2013J,1401935,-35,
242,AAA,2013J,1402638,-195,
243,AAA,2013J,1414443,-169,
244,AAA,2013J,1456619,-87,27
245,AAA,2013J,1465690,-38,
246,AAA,2013J,1472925,20,
247,AAA,2013J,1488959,-30,
248,AAA,2013J,1518989,-102,
249,AAA,2013J,1618738,-95,
250,AAA,2013J,1620151,-95,
251,AAA,2013J,1626710,-195,
252,AAA,2013J,1640609,-191,
253,AAA,2013J,1686521,-124,37
254,AAA,2013J,1729319,-106,
255,AAA,2013J,1746134,-30,
256,AAA,2013J,1758449,-198,103
257,AAA,2013J,1763015,-58,-2
258,AAA,2013J,1765788,-43,
259,AAA,2013J,1801229,-106,
260,AAA,2013J,1801641,-32,
261,AAA,2013J,1847830,-164,
262,AAA,2013J,1860318,-53,
263,AAA,2013J,1889511,-42,
264,AAA,2013J,1889577,-81,
265,AAA,2013J,1894188,-57,
266,AAA,2013J,1938355,-102,
267,AAA,2013J,1942396,-29,
268,AAA,2013J,1970390,-108,240
269,AAA,2013J,1976139,-195,
270,AAA,2013J,2011876,-32,
271,AAA,2013J,2012966,-102,
272,AAA,2013J,2051699,-137,
273,AAA,2013J,2062879,-74,
274,AAA,2013J,2065691,-16,138
275,AAA,2013J,2073016,-65,173
276,AAA,2013J,2080474,-123,
277,AAA,2013J,2083877,-45,
278,AAA,2013J,2084066,-148,
279,AAA,2013J,2104505,-65,
280,AAA,2013J,2122180,-35,
281,AAA,2013J,2139353,-59,163
282,AAA,2013J,2143752,-46,
283,AAA,2013J,2146792,-59,
284,AAA,2013J,2149225,-36,10
285,AAA,2013J,2153153,-49,
286,AAA,2013J,2155014,-32,
287,AAA,2013J,2164705,-43,
288,AAA,2013J,2171627,-50,
289,AAA,2013J,2182846,-113,
290,AAA,2013J,2194100,-108,
291,AAA,2013J,2197016,-35,
292,AAA,2013J,2208424,-66,
293,AAA,2013J,2229865,-116,
294,AAA,2013J,2255601,-28,175
295,AAA,2013J,2268379,-74,
296,AAA,2013J,2278464,-129,
297,AAA,2013J,2293923,-85,
298,AAA,2013J,2312620,-45,178
299,AAA,2013J,2318055,-56,-19
300,AAA,2013J,2324976,-101,-50
301,AAA,2013J,2329342,-56,
302,AAA,2013J,2339528,-57,
303,AAA,2013J,2342426,-38,
304,AAA,2013J,2344901,-24,
305,AAA,2013J,2358056,-102,
306,AAA,2013J,2358969,-53,58
307,AAA,2013J,2364471,-80,
308,AAA,2013J,2365101,-129,-80
309,AAA,2013J,2367155,-22,
310,AAA,2013J,2369266,-94,
311,AAA,2013J,2376496,-185,
312,AAA,2013J,2391984,-101,242
313,AAA,2013J,2411661,-17,
314,AAA,2013J,2411778,-35,220
315,AAA,2013J,2412002,-38,
316,AAA,2013J,2412967,-73,
317,AAA,2013J,2429854,-52,114
318,AAA,2013J,2437837,-53,
319,AAA,2013J,2449878,-32,
320,AAA,2013J,2456480,-71,
321,AAA,2013J,2457256,-50,
322,AAA,2013J,2458355,-81,
323,AAA,2013J,2460080,-52,
324,AAA,2013J,2461190,-11,
325,AAA,2013J,2469673,-22,
326,AAA,2013J,2470694,-106,219
327,AAA,2013J,2479954,-46,
328,AAA,2013J,2481901,-195,
329,AAA,2013J,2482700,-59,
330,AAA,2013J,2486127,-144,
331,AAA,2013J,2498700,-43,
332,AAA,2013J,2516503,-65,
333,AAA,2013J,2518069,-105,
334,AAA,2013J,2521459,-158,
335,AAA,2013J,2523736,-46,
336,AAA,2013J,2529279,-67,
337,AAA,2013J,2532302,-65,
338,AAA,2013J,2536991,-87,
339,AAA,2013J,2542724,-59,13
340,AAA,2013J,2550279,-153,
341,AAA,2013J,2551220,-94,
342,AAA,2013J,2552472,-38,199
343,AAA,2013J,2555340,-67,
344,AAA,2013J,2557283,-80,
345,AAA,2013J,2559575,-31,
346,AAA,2013J,2562034,-30,
347,AAA,2013J,2566163,-91,
348,AAA,2013J,2566592,-35,
349,AAA,2013J,2569324,-81,93
350,AAA,2013J,2574528,-16,
351,AAA,2013J,2574583,-63,
352,AAA,2013J,2576122,-137,39
353,AAA,2013J,2578995,-62,
354,AAA,2013J,2586560,-94,
355,AAA,2013J,2594139,-74,
356,AAA,2013J,2598871,-128,
357,AAA,2013J,2599352,-106,
358,AAA,2013J,2600688,-165,
359,AAA,2013J,2606098,-102,
360,AAA,2013J,2613116,-63,
361,AAA,2013J,2617002,-46,
362,AAA,2013J,2620584,-109,
363,AAA,2013J,2639449,-127,
364,AAA,2013J,2639540,-38,
365,AAA,2013J,2639641,-48,
366,AAA,2013J,2641155,-71,
367,AAA,2013J,2643002,-52,
368,AAA,2013J,2645733,-100,
369,AAA,2013J,2649826,-144,
370,AAA,2013J,2650282,-29,
371,AAA,2013J,2664024,-31,
372,AAA,2013J,2666246,-43,
373,AAA,2013J,2669816,-58,
374,AAA,2013J,2671132,-38,
375,AAA,2013J,2676809,-31,
376,AAA,2013J,2678643,-25,
377,AAA,2013J,2685865,-101,
378,AAA,2013J,2688067,-31,
379,AAA,2013J,2689958,-71,
380,AAA,2013J,2691206,-109,
381,AAA,2013J,2691244,-87,
382,AAA,2013J,2694424,-170,
383,AAA,2013J,2698257,-58,
384,AAA,2014J,6516,-52,
385,AAA,2014J,24734,-18,
386,AAA,2014J,26192,-38,
387,AAA,2014J,28061,-130,
388,AAA,2014J,31600,-52,
389,AAA,2014J,46844,-74,
390,AAA,2014J,52765,-22,
391,AAA,2014J,55104,-87,
392,AAA,2014J,58071,-72,
393,AAA,2014J,58316,-80,
394,AAA,2014J,62487,-50,
395,AAA,2014J,63165,-82,
396,AAA,2014J,65002,-144,
397,AAA,2014J,70011,-78,
398,AAA,2014J,75255,-58,
399,AAA,2014J,79403,-23,164
400,AAA,2014J,85092,-52,
401,AAA,2014J,85144,-41,
402,AAA,2014J,85302,-72,
403,AAA,2014J,87431,-106,235
404,AAA,2014J,94961,-150,
405,AAA,2014J,95755,-80,241
406,AAA,2014J,101116,-80,
407,AAA,2014J,107489,-81,
408,AAA,2014J,108872,-80,
409,AAA,2014J,109155,-80,
410,AAA,2014J,111512,-16,
411,AAA,2014J,117818,-92,
412,AAA,2014J,119902,-31,207
413,AAA,2014J,121349,-28,
414,AAA,2014J,124064,-44,
415,AAA,2014J,125018,-36,
416,AAA,2014J,129955,-143,143
417,AAA,2014J,130034,-82,
418,AAA,2014J,130547,-25,
419,AAA,2014J,130636,-68,
420,AAA,2014J,131390,-115,
421,AAA,2014J,133816,-15,
422,AAA,2014J,133922,-110,
423,AAA,2014J,135335,-82,24
424,AAA,2014J,135400,-51,
425,AAA,2014J,135471,-149,
426,AAA,2014J,139033,-46,
427,AAA,2014J,141377,-127,
428,AAA,2014J,141506,-28,
429,AAA,2014J,146503,-30,
430,AAA,2014J,147756,-41,
431,AAA,2014J,148993,-154,
432,AAA,2014J,149741,-74,
433,AAA,2014J,149962,-92,
434,AAA,2014J,151587,-129,234
435,AAA,2014J,152668,-72,104
436,AAA,2014J,155984,-156,
437,AAA,2014J,158707,-57,172
438,AAA,2014J,159954,-24,201
439,AAA,2014J,164944,-148,
440,AAA,2014J,165226,-22,
441,AAA,2014J,167961,-44,
442,AAA,2014J,174024,-85,
443,AAA,2014J,174094,-89,
444,AAA,2014J,174745,-30,
445,AAA,2014J,175447,-115,
446,AAA,2014J,175772,-45,67
447,AAA,2014J,183057,-23,
448,AAA,2014J,185350,-22,
449,AAA,2014J,188278,-64,
450,AAA,2014J,199636,-30,
451,AAA,2014J,199897,3,
452,AAA,2014J,200804,-80,
453,AAA,2014J,205494,-45,
454,AAA,2014J,228021,-68,
455,AAA,2014J,228383,-21,
456,AAA,2014J,232307,-107,
457,AAA,2014J,235068,-156,
458,AAA,2014J,235507,-135,
459,AAA,2014J,236875,-20,
460,AAA,2014J,237274,-155,
461,AAA,2014J,243510,-16,
462,AAA,2014J,244246,-137,
463,AAA,2014J,248581,-61,
464,AAA,2014J,252073,-5,
465,AAA,2014J,254625,-50,
466,AAA,2014J,258587,-109,
467,AAA,2014J,260355,-156,-87
468,AAA,2014J,260623,-28,
469,AAA,2014J,263251,-73,
470,AAA,2014J,263543,-56,
471,AAA,2014J,263952,-38,
472,AAA,2014J,266524,-134,
473,AAA,2014J,268733,-10,
474,AAA,2014J,273346,-155,
475,AAA,2014J,274947,-43,229
476,AAA,2014J,275674,-155,132
477,AAA,2014J,275792,-37,
478,AAA,2014J,277123,-20,
479,AAA,2014J,277880,-11,158
480,AAA,2014J,281077,-103,
481,AAA,2014J,281636,-73,
482,AAA,2014J,285315,-36,
483,AAA,2014J,287040,-155,
484,AAA,2014J,287204,-79,
485,AAA,2014J,287210,-156,
486,AAA,2014J,288994,-10,
487,AAA,2014J,289449,-122,
488,AAA,2014J,290164,-88,
489,AAA,2014J,292525,-52,
490,AAA,2014J,292775,-35,
491,AAA,2014J,293824,-50,
492,AAA,2014J,294496,-147,
493,AAA,2014J,294655,-49,
494,AAA,2014J,295060,-66,
495,AAA,2014J,295075,-114,
496,AAA,2014J,296424,-84,
497,AAA,2014J,298034,-49,
498,AAA,2014J,298838,-66,
499,AAA,2014J,301967,-35,
500,AAA,2014J,302476,-156,
501,AAA,2014J,303521,-108,
502,AAA,2014J,303985,-24,
503,AAA,2014J,304465,-135,
504,AAA,2014J,306646,-22,
505,AAA,2014J,309142,-38,
506,AAA,2014J,310412,-81,
507,AAA,2014J,311235,-123,
508,AAA,2014J,311659,2,
509,AAA,2014J,313937,-32,
510,AAA,2014J,315076,-22,
511,AAA,2014J,315744,-53,
512,AAA,2014J,323370,-53,
513,AAA,2014J,323805,-144,-101
514,AAA,2014J,328024,-45,
515,AAA,2014J,328734,-144,-47
516,AAA,2014J,329659,-128,
517,AAA,2014J,330594,-14,
518,AAA,2014J,331358,-150,
519,AAA,2014J,332884,-29,
520,AAA,2014J,334441,-154,
521,AAA,2014J,335247,-29,
522,AAA,2014J,335764,-108,
523,AAA,2014J,337748,-70,165
524,AAA,2014J,338407,-67,
525,AAA,2014J,341876,-155,72
526,AAA,2014J,342007,-130,
527,AAA,2014J,345440,-46,
528,AAA,2014J,345519,-88,
529,AAA,2014J,346118,-148,
530,AAA,2014J,348275,-103,128
531,AAA,2014J,348807,-22,
532,AAA,2014J,350156,-50,
533,AAA,2014J,350939,-124,
534,AAA,2014J,351336,-130,
535,AAA,2014J,353665,-51,
536,AAA,2014J,354170,-124,
537,AAA,2014J,356170,-149,
538,AAA,2014J,358182,-96,
539,AAA,2014J,364957,-37,
540,AAA,2014J,369834,-74,227
541,AAA,2014J,371710,-128,
542,AAA,2014J,373872,-25,
543,AAA,2014J,375260,-122,
544,AAA,2014J,375646,-38,
545,AAA,2014J,377546,-37,
546,AAA,2014J,381642,-88,229
547,AAA,2014J,382095,-88,
548,AAA,2014J,383180,-88,172
549,AAA,2014J,383600,-32,
550,AAA,2014J,383723,-113,
551,AAA,2014J,384203,-155,
552,AAA,2014J,384725,-137,
553,AAA,2014J,387533,-50,
554,AAA,2014J,387954,-150,18
555,AAA,2014J,388147,-84,
556,AAA,2014J,390890,-65,
557,AAA,2014J,391249,-25,
558,AAA,2014J,396599,-67,
559,AAA,2014J,396655,-37,
560,AAA,2014J,398171,-42,
561,AAA,2014J,398349,-108,
562,AAA,2014J,400147,-154,
563,AAA,2014J,400682,-115,
564,AAA,2014J,401404,-58,
565,AAA,2014J,402204,-43,
566,AAA,2014J,402727,-50,
567,AAA,2014J,402961,-140,
568,AAA,2014J,404356,-81,
569,AAA,2014J,406671,-78,
570,AAA,2014J,406682,-156,
571,AAA,2014J,409100,-124,
572,AAA,2014J,409703,-78,
573,AAA,2014J,410092,-81,
574,AAA,2014J,411971,-44,
575,AAA,2014J,415969,-108,
576,AAA,2014J,418731,-85,
577,AAA,2014J,421455,-121,
578,AAA,2014J,424577,-114,
579,AAA,2014J,429858,-53,
580,AAA,2014J,431025,-46,
581,AAA,2014J,439305,-127,
582,AAA,2014J,440319,-88,174
583,AAA,2014J,442064,-18,
584,AAA,2014J,442132,-122,
585,AAA,2014J,446108,-106,
586,AAA,2014J,447481,-21,
587,AAA,2014J,468120,-106,
588,AAA,2014J,468694,-23,240
589,AAA,2014J,470588,-154,240
590,AAA,2014J,470982,-31,
591,AAA,2014J,476603,-72,
592,AAA,2014J,481022,-30,
593,AAA,2014J,483800,-49,
594,AAA,2014J,484897,-109,
595,AAA,2014J,485962,-121,
596,AAA,2014J,488382,-155,-137
597,AAA,2014J,488990,-137,
598,AAA,2014J,500113,-109,
599,AAA,2014J,503889,-70,
600,AAA,2014J,514526,-22,-12
601,AAA,2014J,518808,-10,
602,AAA,2014J,522482,-87,80
603,AAA,2014J,527100,-24,
604,AAA,2014J,527801,-153,
605,AAA,2014J,533068,-30,
606,AAA,2014J,537081,-23,
607,AAA,2014J,544253,-24,
608,AAA,2014J,548120,-25,
609,AAA,2014J,561467,-46,58
610,AAA,2014J,567922,-49,-22
611,AAA,2014J,569505,-60,
612,AAA,2014J,570317,-24,
613,AAA,2014J,574505,-153,
614,AAA,2014J,588477,-141,
615,AAA,2014J,593846,-154,227
616,AAA,2014J,593987,-24,
617,AAA,2014J,596288,-57,
618,AAA,2014J,598070,-150,-2
619,AAA,2014J,603834,-5,
620,AAA,2014J,603861,-92,150
621,AAA,2014J,608440,-37,-11
622,AAA,2014J,623710,-129,-129
623,AAA,2014J,623840,-108,
624,AAA,2014J,626240,-25,
625,AAA,2014J,628088,-135,51
626,AAA,2014J,628312,-14,9
627,AAA,2014J,630142,-24,166
628,AAA,2014J,637665,-93,
629,AAA,2014J,639053,-149,
630,AAA,2014J,642878,-108,73
631,AAA,2014J,648130,-53,228
632,AAA,2014J,676546,-38,180
633,AAA,2014J,677186,-66,
634,AAA,2014J,677281,-17,
635,AAA,2014J,684180,-21,
636,AAA,2014J,687698,-4,
637,AAA,2014J,696073,-22,
638,AAA,2014J,696578,-22,182
639,AAA,2014J,721259,-30,128
640,AAA,2014J,852847,-87,
641,AAA,2014J,998493,-135,
642,AAA,2014J,1045203,-155,
643,AAA,2014J,1112555,-122,
644,AAA,2014J,1183831,-115,166
645,AAA,2014J,1268696,-79,
646,AAA,2014J,1336190,-23,
647,AAA,2014J,1352868,-57,
648,AAA,2014J,1398979,-72,213
649,AAA,2014J,1456619,-99,63
650,AAA,2014J,1469279,-51,-22
651,AAA,2014J,1471214,-32,
652,AAA,2014J,1472925,5,
653,AAA,2014J,1484804,-88,
654,AAA,2014J,1511033,-67,
655,AAA,2014J,1576513,-84,
656,AAA,2014J,1609002,-109,
657,AAA,2014J,1629771,-115,
658,AAA,2014J,1676594,-73,32
659,AAA,2014J,1686551,-99,108
660,AAA,2014J,1689639,-154,110
661,AAA,2014J,1715896,-42,
662,AAA,2014J,1721270,-136,
663,AAA,2014J,1757766,-150,
664,AAA,2014J,1773377,-37,
665,AAA,2014J,1799111,-94,
666,AAA,2014J,1818673,-44,
667,AAA,2014J,1839386,-67,34
668,AAA,2014J,1926668,-155,
669,AAA,2014J,1947156,-109,
670,AAA,2014J,1967783,-129,
671,AAA,2014J,1970390,-119,
672,AAA,2014J,1975209,-74,
673,AAA,2014J,2010232,-7,
674,AAA,2014J,2045084,-52,
675,AAA,2014J,2057803,-53,
676,AAA,2014J,2073016,-86,
677,AAA,2014J,2085209,-59,
678,AAA,2014J,2086400,-79,
679,AAA,2014J,2139353,-79,
680,AAA,2014J,2148681,-102,
681,AAA,2014J,2158048,-8,55
682,AAA,2014J,2158196,-115,12
683,AAA,2014J,2165164,-86,
684,AAA,2014J,2168833,-53,146
685,AAA,2014J,2207874,-108,
686,AAA,2014J,2240349,-108,
687,AAA,2014J,2244332,-51,
688,AAA,2014J,2273119,-44,135
689,AAA,2014J,2277857,-119,
690,AAA,2014J,2297896,-59,
691,AAA,2014J,2313257,-101,-16
692,AAA,2014J,2318055,-53,
693,AAA,2014J,2330254,-153,
694,AAA,2014J,2355470,-115,
695,AAA,2014J,2358969,-46,
696,AAA,2014J,2363863,-155,
697,AAA,2014J,2365101,-85,-54
698,AAA,2014J,2369415,-64,
699,AAA,2014J,2375975,-53,
700,AAA,2014J,2397661,-29,
701,AAA,2014J,2398313,-42,
702,AAA,2014J,2404408,-17,
703,AAA,2014J,2425993,-16,
704,AAA,2014J,2429854,-37,
705,AAA,2014J,2432796,-59,
706,AAA,2014J,2434159,-31,
707,AAA,2014J,2436812,-51,
708,AAA,2014J,2467267,-59,
709,AAA,2014J,2470694,-115,
710,AAA,2014J,2473538,-146,
711,AAA,2014J,2474849,-73,132
712,AAA,2014J,2494700,-56,
713,AAA,2014J,2500258,-102,
714,AAA,2014J,2507842,-128,38
715,AAA,2014J,2509639,-87,
716,AAA,2014J,2514368,-23,
717,AAA,2014J,2514898,-128,
718,AAA,2014J,2521865,-50,
719,AAA,2014J,2522927,-140,
720,AAA,2014J,2540168,-46,226
721,AAA,2014J,2546445,-30,58
722,AAA,2014J,2551797,-46,
723,AAA,2014J,2551932,-38,175
724,AAA,2014J,2569324,-10,
725,AAA,2014J,2574990,-42,
726,AAA,2014J,2576122,-17,
727,AAA,2014J,2578676,-156,
728,AAA,2014J,2581477,-109,
729,AAA,2014J,2584873,-28,
730,AAA,2014J,2595841,-87,
731,AAA,2014J,2596621,-101,
732,AAA,2014J,2601889,-49,
733,AAA,2014J,2602338,10,
734,AAA,2014J,2606802,-37,
735,AAA,2014J,2624961,-23,
736,AAA,2014J,2630087,-49,-8
737,AAA,2014J,2633226,-46,
738,AAA,2014J,2642616,-56,
739,AAA,2014J,2642935,-128,
740,AAA,2014J,2648611,-155,
741,AAA,2014J,2649800,-153,
742,AAA,2014J,2654628,-35,
743,AAA,2014J,2677624,-59,
744,AAA,2014J,2680312,-44,
745,AAA,2014J,2688166,-56,
746,AAA,2014J,2690062,-25,32
747,AAA,2014J,2692514,-44,
748,AAA,2014J,2694788,-92,
749,BBB,2013B,23629,-47,
750,BBB,2013B,25107,-73,
751,BBB,2013B,27891,-58,153
752,BBB,2013B,29144,-24,
753,BBB,2013B,31663,-60,
754,BBB,2013B,33666,-23,139
755,BBB,2013B,34229,-58,
756,BBB,2013B,34353,-16,
757,BBB,2013B,34431,-24,27
758,BBB,2013B,34694,-55,-54
759,BBB,2013B,34756,-43,59
760,BBB,2013B,34863,-65,
761,BBB,2013B,35812,-53,
762,BBB,2013B,39655,-22,
763,BBB,2013B,50993,-53,
764,BBB,2013B,52899,-117,86
765,BBB,2013B,58089,-58,
766,BBB,2013B,62631,-45,
767,BBB,2013B,70608,-17,
768,BBB,2013B,71433,-19,
769,BBB,2013B,72070,-24,10
770,BBB,2013B,74695,-64,
771,BBB,2013B,74734,2,
772,BBB,2013B,75399,-24,
773,BBB,2013B,78645,-28,
774,BBB,2013B,79378,-24,
775,BBB,2013B,82535,-19,
776,BBB,2013B,82741,-60,
777,BBB,2013B,83254,-51,
778,BBB,2013B,84245,-27,
779,BBB,2013B,84664,-92,
780,BBB,2013B,86291,-15,72
781,BBB,2013B,87604,-111,-75
782,BBB,2013B,87732,-66,
783,BBB,2013B,88580,-23,-8
784,BBB,2013B,91322,-19,
785,BBB,2013B,92274,-96,132
786,BBB,2013B,92832,-65,
787,BBB,2013B,92947,-227,
788,BBB,2013B,92993,-43,
789,BBB,2013B,94616,-22,
790,BBB,2013B,96291,-51,42
791,BBB,2013B,97154,-50,
792,BBB,2013B,98313,-22,
793,BBB,2013B,102849,-51,-4
794,BBB,2013B,104054,-19,
795,BBB,2013B,108377,-53,
796,BBB,2013B,108589,-108,
